,observer,date,bird.id,lower.cam.id,upper.cam.id,tree.sp,n.fruits.init,n.fruits.final,fruit.location,n.trees.collected,time.fruit.added,time.first.consumed,time.last.consumed,time.fruit.removed,time.paper1.removed,time.paper2.removed,time.paper3.removed,pile.id,n.seeds.pile,time.pile,handling.method,notes,bird.sp,mid,gpt
313.1,jb,20160702,gowe3,ebl3,NA,melano,12 seeds,6 seeds,marpi ,7,1899-12-31 13:24:00,1899-12-31 13:25:00,1899-12-31 13:29:00,1899-12-31 13:34:00,NA,NA,NA,e,2,1899-12-31 14:04:00,passed,NA,gowe,2,38.96666667
314,jb,20160702,gowe3,ebl3,NA,melano,12 seeds,6 seeds,marpi ,7,1899-12-31 13:24:00,1899-12-31 13:25:00,1899-12-31 13:29:00,1899-12-31 13:34:00,NA,NA,NA,j,1,1899-12-31 14:11:00,passed,NA,gowe,2,45.96666667
315,jb,20160702,gowe3,ebl3,NA,melano,12 seeds,6 seeds,marpi ,7,1899-12-31 13:24:00,1899-12-31 13:25:00,1899-12-31 13:29:00,1899-12-31 13:34:00,NA,NA,NA,g,1,1899-12-31 14:12:00,passed,NA,gowe,2,46.96666667
316,jb,20160702,gowe3,ebl3,NA,melano,12 seeds,6 seeds,marpi ,7,1899-12-31 13:24:00,1899-12-31 13:25:00,1899-12-31 13:29:00,1899-12-31 13:34:00,NA,NA,NA,f,2,1899-12-31 14:36:00,passed,NA,gowe,2,70.96666667
316.1,jb,20160702,gowe3,ebl3,NA,melano,12 seeds,6 seeds,marpi ,7,1899-12-31 13:24:00,1899-12-31 13:25:00,1899-12-31 13:29:00,1899-12-31 13:34:00,NA,NA,NA,f,2,1899-12-31 14:36:00,passed,NA,gowe,2,70.96666667
317,jb,20160705,gowe3,ebl3,ebl4,psychotria,12,11,marpi,2,1899-12-31 12:05:00,1899-12-31 12:06:00,1899-12-31 12:11:00,1899-12-31 12:17:00,NA,NA,NA,b,2,1899-12-31 13:02:00,passed,NA,gowe,2.5,55.95833333
317.1,jb,20160705,gowe3,ebl3,ebl4,psychotria,12,11,marpi,2,1899-12-31 12:05:00,1899-12-31 12:06:00,1899-12-31 12:11:00,1899-12-31 12:17:00,NA,NA,NA,b,2,1899-12-31 13:02:00,passed,NA,gowe,2.5,55.95833333
318,jb,20160705,gowe3,ebl3,ebl4,psychotria,16,15,marpi,2,1899-12-31 10:26:00,1899-12-31 10:29:00,1899-12-31 10:29:00,1899-12-31 10:37:00,NA,NA,NA,b,2,1899-12-31 11:02:00,passed,NA,gowe,0,33
318.1,jb,20160705,gowe3,ebl3,ebl4,psychotria,16,15,marpi,2,1899-12-31 10:26:00,1899-12-31 10:29:00,1899-12-31 10:29:00,1899-12-31 10:37:00,NA,NA,NA,b,2,1899-12-31 11:02:00,passed,NA,gowe,0,33
319,jb,20160705,mist10,ebl6,ebl5,morinda,14,0,marpi,1,1899-12-31 09:43:00,1899-12-31 09:48:00,1899-12-31 09:49:00,1899-12-31 09:51:00,NA,NA,NA,o,2,1899-12-31 10:24:00,passed,NA,mist,0.5,35.99166667
319.1,jb,20160705,mist10,ebl6,ebl5,morinda,14,0,marpi,1,1899-12-31 09:43:00,1899-12-31 09:48:00,1899-12-31 09:49:00,1899-12-31 09:51:00,NA,NA,NA,o,2,1899-12-31 10:24:00,passed,NA,mist,0.5,35.99166667
320,jb,20160705,mist10,ebl6,ebl5,morinda,14,0,marpi,1,1899-12-31 09:43:00,1899-12-31 09:48:00,1899-12-31 09:49:00,1899-12-31 09:51:00,NA,NA,NA,c,2,1899-12-31 10:23:00,passed,NA,mist,0.5,34.99166667
320.1,jb,20160705,mist10,ebl6,ebl5,morinda,14,0,marpi,1,1899-12-31 09:43:00,1899-12-31 09:48:00,1899-12-31 09:49:00,1899-12-31 09:51:00,NA,NA,NA,c,2,1899-12-31 10:23:00,passed,NA,mist,0.5,34.99166667
321,jb,20160705,mist10,ebl6,ebl5,morinda,14,0,marpi,1,1899-12-31 09:43:00,1899-12-31 09:48:00,1899-12-31 09:49:00,1899-12-31 09:51:00,NA,NA,NA,c,2,1899-12-31 10:28:00,passed,NA,mist,0.5,39.99166667
321.1,jb,20160705,mist10,ebl6,ebl5,morinda,14,0,marpi,1,1899-12-31 09:43:00,1899-12-31 09:48:00,1899-12-31 09:49:00,1899-12-31 09:51:00,NA,NA,NA,c,2,1899-12-31 10:28:00,passed,NA,mist,0.5,39.99166667
322,jb,20160705,mist10,ebl6,ebl5,morinda,14,0,marpi,1,1899-12-31 09:43:00,1899-12-31 09:48:00,1899-12-31 09:49:00,1899-12-31 09:51:00,NA,NA,NA,l,1,1899-12-31 10:29:00,passed,NA,mist,0.5,40.99166667
323,jb,20160705,mist10,ebl6,ebl5,morinda,14,0,marpi,1,1899-12-31 09:43:00,1899-12-31 09:48:00,1899-12-31 09:49:00,1899-12-31 09:51:00,NA,NA,NA,i,2,1899-12-31 10:37:00,passed,NA,mist,0.5,48.99166667
323.1,jb,20160705,mist10,ebl6,ebl5,morinda,14,0,marpi,1,1899-12-31 09:43:00,1899-12-31 09:48:00,1899-12-31 09:49:00,1899-12-31 09:51:00,NA,NA,NA,i,2,1899-12-31 10:37:00,passed,NA,mist,0.5,48.99166667
324,jb,20160705,mist10,ebl6,ebl5,morinda,14,0,marpi,1,1899-12-31 09:43:00,1899-12-31 09:48:00,1899-12-31 09:49:00,1899-12-31 09:51:00,NA,NA,NA,l,2,1899-12-31 10:59:00,passed,NA,mist,0.5,70.99166667
324.1,jb,20160705,mist10,ebl6,ebl5,morinda,14,0,marpi,1,1899-12-31 09:43:00,1899-12-31 09:48:00,1899-12-31 09:49:00,1899-12-31 09:51:00,NA,NA,NA,l,2,1899-12-31 10:59:00,passed,NA,mist,0.5,70.99166667
325,jb,20160705,mist10,ebl6,ebl5,morinda,14,0,marpi,1,1899-12-31 09:43:00,1899-12-31 09:48:00,1899-12-31 09:49:00,1899-12-31 09:51:00,NA,NA,NA,h,1,1899-12-31 11:15:00,passed,NA,mist,0.5,86.99166667
326,jb,20160705,mist10,ebl6,ebl5,morinda,14,0,marpi,1,1899-12-31 09:43:00,1899-12-31 09:48:00,1899-12-31 09:49:00,1899-12-31 09:51:00,NA,NA,NA,k,2,1899-12-31 11:44:00,passed,NA,mist,0.5,115.9916667
326.1,jb,20160705,mist10,ebl6,ebl5,morinda,14,0,marpi,1,1899-12-31 09:43:00,1899-12-31 09:48:00,1899-12-31 09:49:00,1899-12-31 09:51:00,NA,NA,NA,k,2,1899-12-31 11:44:00,passed,NA,mist,0.5,115.9916667
327,jb,20160705,mist10,ebl6,ebl5,morinda,14,0,marpi,1,1899-12-31 14:19:00,1899-12-31 14:31:00,1899-12-31 14:34:00,1899-12-31 14:42:00,NA,NA,NA,r,2,1899-12-31 15:01:00,passed,NA,mist,1.5,29.975
327.1,jb,20160705,mist10,ebl6,ebl5,morinda,14,0,marpi,1,1899-12-31 14:19:00,1899-12-31 14:31:00,1899-12-31 14:34:00,1899-12-31 14:42:00,NA,NA,NA,r,2,1899-12-31 15:01:00,passed,NA,mist,1.5,29.975
328,jb,20160705,mist10,ebl6,ebl5,morinda,14,0,marpi,1,1899-12-31 14:19:00,1899-12-31 14:31:00,1899-12-31 14:34:00,1899-12-31 14:42:00,NA,NA,NA,t,2,1899-12-31 15:05:00,passed,NA,mist,1.5,33.975
328.1,jb,20160705,mist10,ebl6,ebl5,morinda,14,0,marpi,1,1899-12-31 14:19:00,1899-12-31 14:31:00,1899-12-31 14:34:00,1899-12-31 14:42:00,NA,NA,NA,t,2,1899-12-31 15:05:00,passed,NA,mist,1.5,33.975
329,jb,20160705,mist10,ebl6,ebl5,morinda,14,0,marpi,1,1899-12-31 14:19:00,1899-12-31 14:31:00,1899-12-31 14:34:00,1899-12-31 14:42:00,NA,NA,NA,u,2,1899-12-31 15:07:00,passed,NA,mist,1.5,35.975
329.1,jb,20160705,mist10,ebl6,ebl5,morinda,14,0,marpi,1,1899-12-31 14:19:00,1899-12-31 14:31:00,1899-12-31 14:34:00,1899-12-31 14:42:00,NA,NA,NA,u,2,1899-12-31 15:07:00,passed,NA,mist,1.5,35.975
330,jb,20160705,mist10,ebl6,ebl5,morinda,14,0,marpi,1,1899-12-31 14:19:00,1899-12-31 14:31:00,1899-12-31 14:34:00,1899-12-31 14:42:00,NA,NA,NA,u,2,1899-12-31 15:12:00,passed,NA,mist,1.5,40.975
330.1,jb,20160705,mist10,ebl6,ebl5,morinda,14,0,marpi,1,1899-12-31 14:19:00,1899-12-31 14:31:00,1899-12-31 14:34:00,1899-12-31 14:42:00,NA,NA,NA,u,2,1899-12-31 15:12:00,passed,NA,mist,1.5,40.975
331,jb,20160705,mist10,ebl6,ebl5,morinda,14,0,marpi,1,1899-12-31 14:19:00,1899-12-31 14:31:00,1899-12-31 14:34:00,1899-12-31 14:42:00,NA,NA,NA,u,1,1899-12-31 15:17:00,passed,NA,mist,1.5,45.975
332,jb,20160705,mist10,ebl6,ebl5,morinda,14,0,marpi,1,1899-12-31 14:19:00,1899-12-31 14:31:00,1899-12-31 14:34:00,1899-12-31 14:42:00,NA,NA,NA,x,2,1899-12-31 15:40:00,passed,NA,mist,1.5,68.975
332.1,jb,20160705,mist10,ebl6,ebl5,morinda,14,0,marpi,1,1899-12-31 14:19:00,1899-12-31 14:31:00,1899-12-31 14:34:00,1899-12-31 14:42:00,NA,NA,NA,x,2,1899-12-31 15:40:00,passed,NA,mist,1.5,68.975
333,jb,20160705,mist10,ebl6,ebl5,morinda,14,0,marpi,1,1899-12-31 14:19:00,1899-12-31 14:31:00,1899-12-31 14:34:00,1899-12-31 14:42:00,NA,NA,NA,r,1,1899-12-31 15:43:00,passed,NA,mist,1.5,71.975
334,jb,20160705,mist10,ebl6,ebl5,morinda,14,0,marpi,1,1899-12-31 14:19:00,1899-12-31 14:31:00,1899-12-31 14:34:00,1899-12-31 14:42:00,NA,NA,NA,u,1,1899-12-31 15:49:00,passed,NA,mist,1.5,77.975
335,jb,20160705,mist10,ebl6,ebl5,morinda,14,0,marpi,1,1899-12-31 14:19:00,1899-12-31 14:31:00,1899-12-31 14:34:00,1899-12-31 14:42:00,NA,NA,NA,j,1,1899-12-31 15:51:00,passed,NA,mist,1.5,79.975
336,jb,20160706,mist10,ebl6,ebl4,premna,20,4,marpi,5,1899-12-31 07:13:00,1899-12-31 07:20:00,1899-12-31 07:22:00,1899-12-31 07:32:00,NA,NA,NA,m,1,1899-12-31 07:44:00,passed,NA,mist,1,23.98333333
337,jb,20160706,mist10,ebl6,ebl4,premna,20,4,marpi,5,1899-12-31 07:13:00,1899-12-31 07:20:00,1899-12-31 07:22:00,1899-12-31 07:32:00,NA,NA,NA,e,1,1899-12-31 07:54:00,passed,NA,mist,1,33.98333333
338,jb,20160706,mist10,ebl6,ebl4,premna,20,4,marpi,5,1899-12-31 07:13:00,1899-12-31 07:20:00,1899-12-31 07:22:00,1899-12-31 07:32:00,NA,NA,NA,j,1,1899-12-31 07:55:00,passed,NA,mist,1,34.98333333
339,jb,20160706,mist10,ebl6,ebl4,premna,20,4,marpi,5,1899-12-31 07:13:00,1899-12-31 07:20:00,1899-12-31 07:22:00,1899-12-31 07:32:00,NA,NA,NA,k,1,1899-12-31 07:59:00,passed,NA,mist,1,38.98333333
340,jb,20160706,mist10,ebl6,ebl4,premna,20,4,marpi,5,1899-12-31 07:13:00,1899-12-31 07:20:00,1899-12-31 07:22:00,1899-12-31 07:32:00,NA,NA,NA,e,2,1899-12-31 08:11:00,passed,NA,mist,1,50.98333333
340.1,jb,20160706,mist10,ebl6,ebl4,premna,20,4,marpi,5,1899-12-31 07:13:00,1899-12-31 07:20:00,1899-12-31 07:22:00,1899-12-31 07:32:00,NA,NA,NA,e,2,1899-12-31 08:11:00,passed,NA,mist,1,50.98333333
341,jb,20160706,mist10,ebl6,ebl4,premna,20,4,marpi,5,1899-12-31 07:13:00,1899-12-31 07:20:00,1899-12-31 07:22:00,1899-12-31 07:32:00,NA,NA,NA,r/u,1,1899-12-31 08:12:00,passed,NA,mist,1,51.98333333
342,jb,20160706,mist10,ebl6,ebl4,premna,20,4,marpi,5,1899-12-31 07:13:00,1899-12-31 07:20:00,1899-12-31 07:22:00,1899-12-31 07:32:00,NA,NA,NA,j,1,1899-12-31 08:33:00,passed,NA,mist,1,72.98333333
343,jb,20160706,mist10,ebl6,ebl4,premna,20,4,marpi,5,1899-12-31 07:13:00,1899-12-31 07:20:00,1899-12-31 07:22:00,1899-12-31 07:32:00,NA,NA,NA,j,1,1899-12-31 08:34:00,passed,NA,mist,1,73.98333333
344,jb,20160706,mist10,ebl6,ebl4,premna,20,4,marpi,5,1899-12-31 07:13:00,1899-12-31 07:20:00,1899-12-31 07:22:00,1899-12-31 07:32:00,NA,NA,NA,j,1,1899-12-31 08:43:00,passed,NA,mist,1,82.98333333
345,jb,20160706,mist10,ebl6,ebl4,premna,20,4,marpi,5,1899-12-31 07:13:00,1899-12-31 07:20:00,1899-12-31 07:22:00,1899-12-31 07:32:00,NA,NA,NA,q,1,1899-12-31 08:50:00,passed,NA,mist,1,89.98333333
346,jb,20160706,mist10,ebl6,ebl4,premna,20,4,marpi,5,1899-12-31 07:13:00,1899-12-31 07:20:00,1899-12-31 07:22:00,1899-12-31 07:32:00,NA,NA,NA,i,2,1899-12-31 09:23:00,passed,NA,mist,1,122.9833333
346.1,jb,20160706,mist10,ebl6,ebl4,premna,20,4,marpi,5,1899-12-31 07:13:00,1899-12-31 07:20:00,1899-12-31 07:22:00,1899-12-31 07:32:00,NA,NA,NA,i,2,1899-12-31 09:23:00,passed,NA,mist,1,122.9833333
347,jb,20160706,mist10,ebl6,ebl4,premna,20,4,marpi,5,1899-12-31 07:13:00,1899-12-31 07:20:00,1899-12-31 07:22:00,1899-12-31 07:32:00,NA,NA,NA,j,1,1899-12-31 09:39:00,passed,NA,mist,1,138.9833333
348,jb,20160706,mist10,ebl6,ebl4,premna,20,4,marpi,5,1899-12-31 07:13:00,1899-12-31 07:20:00,1899-12-31 07:22:00,1899-12-31 07:32:00,NA,NA,NA,m,1,1899-12-31 10:21:00,passed,NA,mist,1,180.9833333
349,jb,20160706,mist10,ebl6,ebl4,premna,20,4,marpi,5,1899-12-31 07:13:00,1899-12-31 07:20:00,1899-12-31 07:22:00,1899-12-31 07:32:00,NA,NA,NA,u,1,1899-12-31 11:17:00,passed,NA,mist,1,236.9833333
350,jb,20160706,mist10,ebl6,ebl1,psychotria,12,11,marpi,2,1899-12-31 14:03:00,1899-12-31 14:04:00,1899-12-31 14:04:00,1899-12-31 14:14:00,NA,NA,NA,u,2,1899-12-31 14:41:00,passed,NA,mist,0,37
350.1,jb,20160706,mist10,ebl6,ebl1,psychotria,12,11,marpi,2,1899-12-31 14:03:00,1899-12-31 14:04:00,1899-12-31 14:04:00,1899-12-31 14:14:00,NA,NA,NA,u,2,1899-12-31 14:41:00,passed,NA,mist,0,37
351,jb,20160706,gowe3,ebl2,ebl5,papaya,16,10,Ayuyu Dr.,1,1899-12-31 10:12:00,1899-12-31 10:13:00,1899-12-31 10:18:00,1899-12-31 10:24:00,NA,NA,NA,c,1,1899-12-31 10:25:00,passed,NA,gowe,2.5,11.95833333
352,jb,20160706,gowe3,ebl2,ebl5,papaya,16,10,Ayuyu Dr.,1,1899-12-31 10:12:00,1899-12-31 10:13:00,1899-12-31 10:18:00,1899-12-31 10:24:00,NA,NA,NA,j,2,1899-12-31 10:59:00,passed,NA,gowe,2.5,45.95833333
352.1,jb,20160706,gowe3,ebl2,ebl5,papaya,16,10,Ayuyu Dr.,1,1899-12-31 10:12:00,1899-12-31 10:13:00,1899-12-31 10:18:00,1899-12-31 10:24:00,NA,NA,NA,j,2,1899-12-31 10:59:00,passed,NA,gowe,2.5,45.95833333
353,jb,20160706,gowe3,ebl2,ebl5,papaya,16,10,Ayuyu Dr.,1,1899-12-31 10:12:00,1899-12-31 10:13:00,1899-12-31 10:18:00,1899-12-31 10:24:00,NA,NA,NA,c,2,1899-12-31 11:05:00,passed,NA,gowe,2.5,51.95833333
353.1,jb,20160706,gowe3,ebl2,ebl5,papaya,16,10,Ayuyu Dr.,1,1899-12-31 10:12:00,1899-12-31 10:13:00,1899-12-31 10:18:00,1899-12-31 10:24:00,NA,NA,NA,c,2,1899-12-31 11:05:00,passed,NA,gowe,2.5,51.95833333
354,jb,20160706,gowe3,ebl2,ebl5,papaya,16,10,Ayuyu Dr.,1,1899-12-31 10:12:00,1899-12-31 10:13:00,1899-12-31 10:18:00,1899-12-31 10:24:00,NA,NA,NA,l,1,1899-12-31 11:11:00,passed,NA,gowe,2.5,57.95833333
355,jb,20160706,gowe3,ebl2,ebl5,papaya,16,11,Ayuyu Dr.,1,1899-12-31 08:48:00,1899-12-31 08:49:00,1899-12-31 08:56:00,1899-12-31 09:00:00,NA,NA,NA,c,2,1899-12-31 09:17:00,passed,NA,gowe,3.5,27.94166667
355.1,jb,20160706,gowe3,ebl2,ebl5,papaya,16,11,Ayuyu Dr.,1,1899-12-31 08:48:00,1899-12-31 08:49:00,1899-12-31 08:56:00,1899-12-31 09:00:00,NA,NA,NA,c,2,1899-12-31 09:17:00,passed,NA,gowe,3.5,27.94166667
356,jb,20160706,gowe3,ebl2,ebl5,papaya,16,11,Ayuyu Dr.,1,1899-12-31 08:48:00,1899-12-31 08:49:00,1899-12-31 08:56:00,1899-12-31 09:00:00,NA,NA,NA,b,2,1899-12-31 09:20:00,passed,NA,gowe,3.5,30.94166667
356.1,jb,20160706,gowe3,ebl2,ebl5,papaya,16,11,Ayuyu Dr.,1,1899-12-31 08:48:00,1899-12-31 08:49:00,1899-12-31 08:56:00,1899-12-31 09:00:00,NA,NA,NA,b,2,1899-12-31 09:20:00,passed,NA,gowe,3.5,30.94166667
357,jb,20160706,gowe3,ebl2,ebl5,papaya,16,11,Ayuyu Dr.,1,1899-12-31 08:48:00,1899-12-31 08:49:00,1899-12-31 08:56:00,1899-12-31 09:00:00,NA,NA,NA,j,1,1899-12-31 09:25:00,passed,NA,gowe,3.5,35.94166667
358,jb,20160707,gowe4,ebl6,ebl4,premna,16,13,Ayuyu Dr.,5,1899-12-31 07:30:00,1899-12-31 07:49:00,1899-12-31 07:50:00,1899-12-31 08:00:00,NA,NA,NA,b,3,1899-12-31 08:02:00,passed,NA,gowe,0.5,12.99166667
358.1,jb,20160707,gowe4,ebl6,ebl4,premna,16,13,Ayuyu Dr.,5,1899-12-31 07:30:00,1899-12-31 07:49:00,1899-12-31 07:50:00,1899-12-31 08:00:00,NA,NA,NA,b,3,1899-12-31 08:02:00,passed,NA,gowe,0.5,12.99166667
358.2,jb,20160707,gowe4,ebl6,ebl4,premna,16,13,Ayuyu Dr.,5,1899-12-31 07:30:00,1899-12-31 07:49:00,1899-12-31 07:50:00,1899-12-31 08:00:00,NA,NA,NA,b,3,1899-12-31 08:02:00,passed,NA,gowe,0.5,12.99166667
359,jb,20160707,gowe4,ebl6,ebl4,premna,16,10,Ayuyu Dr.,5,1899-12-31 08:30:00,1899-12-31 08:46:00,1899-12-31 08:50:00,1899-12-31 08:57:00,NA,NA,NA,f,2,1899-12-31 09:00:00,passed,NA,gowe,2,13.96666667
359.1,jb,20160707,gowe4,ebl6,ebl4,premna,16,10,Ayuyu Dr.,5,1899-12-31 08:30:00,1899-12-31 08:46:00,1899-12-31 08:50:00,1899-12-31 08:57:00,NA,NA,NA,f,2,1899-12-31 09:00:00,passed,NA,gowe,2,13.96666667
360,jb,20160707,gowe4,ebl6,ebl4,premna,16,10,Ayuyu Dr.,5,1899-12-31 08:30:00,1899-12-31 08:46:00,1899-12-31 08:50:00,1899-12-31 08:57:00,NA,NA,NA,f,2,1899-12-31 09:04:00,passed,NA,gowe,2,17.96666667
360.1,jb,20160707,gowe4,ebl6,ebl4,premna,16,10,Ayuyu Dr.,5,1899-12-31 08:30:00,1899-12-31 08:46:00,1899-12-31 08:50:00,1899-12-31 08:57:00,NA,NA,NA,f,2,1899-12-31 09:04:00,passed,NA,gowe,2,17.96666667
361,jb,20160707,gowe4,ebl6,ebl4,premna,16,10,Ayuyu Dr.,5,1899-12-31 08:30:00,1899-12-31 08:46:00,1899-12-31 08:50:00,1899-12-31 08:57:00,NA,NA,NA,e,2,1899-12-31 09:16:00,passed,NA,gowe,2,29.96666667
361.1,jb,20160707,gowe4,ebl6,ebl4,premna,16,10,Ayuyu Dr.,5,1899-12-31 08:30:00,1899-12-31 08:46:00,1899-12-31 08:50:00,1899-12-31 08:57:00,NA,NA,NA,e,2,1899-12-31 09:16:00,passed,NA,gowe,2,29.96666667
362,jb,20160707,mist10,ebl2,ebl5,premna,12,0,Ayuyu Dr.,5,1899-12-31 08:18:00,1899-12-31 08:19:00,1899-12-31 08:28:00,1899-12-31 08:30:00,NA,NA,NA,c,2,1899-12-31 08:53:00,passed,NA,mist,4.5,33.925
362.1,jb,20160707,mist10,ebl2,ebl5,premna,12,0,Ayuyu Dr.,5,1899-12-31 08:18:00,1899-12-31 08:19:00,1899-12-31 08:28:00,1899-12-31 08:30:00,NA,NA,NA,c,2,1899-12-31 08:53:00,passed,NA,mist,4.5,33.925
363,jb,20160707,mist10,ebl2,ebl5,premna,12,0,Ayuyu Dr.,5,1899-12-31 08:18:00,1899-12-31 08:19:00,1899-12-31 08:28:00,1899-12-31 08:30:00,NA,NA,NA,k,1,1899-12-31 08:51:00,passed,NA,mist,4.5,31.925
364,jb,20160707,mist10,ebl2,ebl5,premna,12,0,Ayuyu Dr.,5,1899-12-31 08:18:00,1899-12-31 08:19:00,1899-12-31 08:28:00,1899-12-31 08:30:00,NA,NA,NA,c,1,1899-12-31 09:00:00,passed,NA,mist,4.5,40.925
365,jb,20160707,mist10,ebl2,ebl5,premna,12,0,Ayuyu Dr.,5,1899-12-31 08:18:00,1899-12-31 08:19:00,1899-12-31 08:28:00,1899-12-31 08:30:00,NA,NA,NA,f,1,1899-12-31 09:00:00,passed,NA,mist,4.5,40.925
366,jb,20160707,mist10,ebl2,ebl5,premna,12,0,Ayuyu Dr.,5,1899-12-31 08:18:00,1899-12-31 08:19:00,1899-12-31 08:28:00,1899-12-31 08:30:00,NA,NA,NA,x,3,1899-12-31 09:02:00,passed,NA,mist,4.5,42.925
366.1,jb,20160707,mist10,ebl2,ebl5,premna,12,0,Ayuyu Dr.,5,1899-12-31 08:18:00,1899-12-31 08:19:00,1899-12-31 08:28:00,1899-12-31 08:30:00,NA,NA,NA,x,3,1899-12-31 09:02:00,passed,NA,mist,4.5,42.925
366.2,jb,20160707,mist10,ebl2,ebl5,premna,12,0,Ayuyu Dr.,5,1899-12-31 08:18:00,1899-12-31 08:19:00,1899-12-31 08:28:00,1899-12-31 08:30:00,NA,NA,NA,x,3,1899-12-31 09:02:00,passed,NA,mist,4.5,42.925
367,jb,20160707,mist10,ebl2,ebl5,premna,12,0,Ayuyu Dr.,5,1899-12-31 08:18:00,1899-12-31 08:19:00,1899-12-31 08:28:00,1899-12-31 08:30:00,NA,NA,NA,k,2,1899-12-31 09:12:00,passed,NA,mist,4.5,52.925
367.1,jb,20160707,mist10,ebl2,ebl5,premna,12,0,Ayuyu Dr.,5,1899-12-31 08:18:00,1899-12-31 08:19:00,1899-12-31 08:28:00,1899-12-31 08:30:00,NA,NA,NA,k,2,1899-12-31 09:12:00,passed,NA,mist,4.5,52.925
368,jb,20160707,mist10,ebl2,ebl5,premna,12,0,Ayuyu Dr.,5,1899-12-31 08:18:00,1899-12-31 08:19:00,1899-12-31 08:28:00,1899-12-31 08:30:00,NA,NA,NA,p,1,1899-12-31 09:22:00,passed,NA,mist,4.5,62.925
369,jb,20160707,mist10,ebl2,ebl5,premna,12,0,Ayuyu Dr.,5,1899-12-31 08:18:00,1899-12-31 08:19:00,1899-12-31 08:28:00,1899-12-31 08:30:00,NA,NA,NA,p,1,1899-12-31 09:24:00,passed,NA,mist,4.5,64.925
370,jb,20160707,mist11,ebl2,ebl5,aglaia,2,0,marpi,1,1899-12-31 07:30:00,1899-12-31 07:32:00,1899-12-31 07:33:00,1899-12-31 07:43:00,NA,NA,NA,e,1,1899-12-31 07:45:00,regurgitated,visual observation,mist,0.5,12.99166667
371,jb,20160707,mist12,ebl2,ebl5,aglaia,2,0,marpi,1,1899-12-31 07:30:00,1899-12-31 07:32:00,1899-12-31 07:33:00,1899-12-31 07:43:00,NA,NA,NA,k,1,1899-12-31 08:08:00,regurgitated,visual observation,mist,0.5,35.99166667
389,jb,20160708,gowe4,ebl2,ebl3,papaya,16,10,Ayuyu Dr.,1,1899-12-31 09:38:00,1899-12-31 09:58:00,1899-12-31 10:02:00,1899-12-31 10:08:00,NA,NA,NA,h,2,1899-12-31 10:16:00,passed,NA,gowe,2,17.96666667
389.1,jb,20160708,gowe4,ebl2,ebl3,papaya,16,10,Ayuyu Dr.,1,1899-12-31 09:38:00,1899-12-31 09:58:00,1899-12-31 10:02:00,1899-12-31 10:08:00,NA,NA,NA,h,2,1899-12-31 10:16:00,passed,NA,gowe,2,17.96666667
390,jb,20160708,gowe4,ebl2,ebl3,papaya,16,10,Ayuyu Dr.,1,1899-12-31 09:38:00,1899-12-31 09:58:00,1899-12-31 10:02:00,1899-12-31 10:08:00,NA,NA,NA,i,2,1899-12-31 10:20:00,passed,NA,gowe,2,21.96666667
390.1,jb,20160708,gowe4,ebl2,ebl3,papaya,16,10,Ayuyu Dr.,1,1899-12-31 09:38:00,1899-12-31 09:58:00,1899-12-31 10:02:00,1899-12-31 10:08:00,NA,NA,NA,i,2,1899-12-31 10:20:00,passed,NA,gowe,2,21.96666667
391,jb,20160708,gowe4,ebl2,ebl3,papaya,16,10,Ayuyu Dr.,1,1899-12-31 09:38:00,1899-12-31 09:58:00,1899-12-31 10:02:00,1899-12-31 10:08:00,NA,NA,NA,f,2,1899-12-31 10:17:00,passed,NA,gowe,2,18.96666667
391.1,jb,20160708,gowe4,ebl2,ebl3,papaya,16,10,Ayuyu Dr.,1,1899-12-31 09:38:00,1899-12-31 09:58:00,1899-12-31 10:02:00,1899-12-31 10:08:00,NA,NA,NA,f,2,1899-12-31 10:17:00,passed,NA,gowe,2,18.96666667
392,jb,20160708,gowe4,ebl2,ebl3,papaya,14,12,Ayuyu Dr.,1,1899-12-31 10:21:00,1899-12-31 10:33:00,1899-12-31 10:33:00,1899-12-31 10:43:00,NA,NA,NA,e,1,1899-12-31 11:17:00,passed,NA,gowe,0,44
393,jb,20160708,gowe4,ebl2,ebl3,papaya,14,12,Ayuyu Dr.,1,1899-12-31 10:21:00,1899-12-31 10:33:00,1899-12-31 10:33:00,1899-12-31 10:43:00,NA,NA,NA,e,1,1899-12-31 11:18:00,passed,visual observation,gowe,0,45
394,jb,20160709,mist10,ebl2,NA,melano,8,0,laolao,3,1899-12-31 09:03:00,1899-12-31 09:04:00,1899-12-31 09:06:00,1899-12-31 09:14:00,NA,NA,NA,c,2,1899-12-31 09:53:00,passed,visual observation,mist,1,48.98333333
394.1,jb,20160709,mist10,ebl2,NA,melano,8,0,laolao,3,1899-12-31 09:03:00,1899-12-31 09:04:00,1899-12-31 09:06:00,1899-12-31 09:14:00,NA,NA,NA,c,2,1899-12-31 09:53:00,passed,visual observation,mist,1,48.98333333
395,jb,20160709,mist10,ebl2,NA,melano,8,0,laolao,3,1899-12-31 09:03:00,1899-12-31 09:04:00,1899-12-31 09:06:00,1899-12-31 09:14:00,NA,NA,NA,c,1,1899-12-31 09:55:00,passed,visual observation,mist,1,50.98333333
396,jb,20160709,mist10,ebl2,NA,melano,8,0,laolao,3,1899-12-31 09:03:00,1899-12-31 09:04:00,1899-12-31 09:06:00,1899-12-31 09:14:00,NA,NA,NA,l,1,1899-12-31 09:58:00,passed,visual observation,mist,1,53.98333333
